Action Type,Display Name,Description (info box/hover text),Action Data Description,Action Data Link,Points,Enabled,Start Date,End Date,Order
Refer-a-Friend via Twitter,Refer-a-friend and you will earn 5% of your referral's total points.,"Refer a friend to FanFueled's Engage Platform by posting this link to your Twitter feed. You will earn 5% of all of your referral's total points. If your referrals get their friends to sign up, you will receive 5% of their total points, too. That's because FanFueled's patented 'Share, Track, Reward' software tracks your influence across multiple degrees of separation and rewards you for it.",Sign up for FanFueled Engage for a chance to win awesome prizes and experiences. ,,5,Y,4/6/2012,,2
Like,Like Innocent Flesh on Facebook.,We're doing ticketing for this critically acclaimed play in NYC. Get your tickets today at FanFueled.com,,https://www.facebook.com/pages/Innocent-Flesh/267200376642271,100,Y,4/9/2012,4/10/2012,3
Buy,Buy a ticket to Gareth Emery at Enclave in Chicago.,Gareth Emery will be performing at Enclave Chicago on April 21st at 9pm. 21+,,http://www.fanfueled.com/Event/Details/2008-gareth-emery-enclave-chicago-w-insomniac-events,200,Y,4/9/2012,4/10/2012,4
post,Post our new ticketing landing page to your Wall.,,Check out FanFueled's new ticketing landing page.,http://www.fanfueled.com/Home/FrontPage,100,Y,4/10/2012,4/11/2012,5
Follow,Follow Innocent Flesh on Twitter.,We're doing ticketing for this critically acclaimed play in NYC. Get your tickets today at FanFueled.com,,http://twitter.com/#!/innocentflesh,100,Y,4/10/2012,4/11/2012,6
Like,Like the High Noon Saloon on Facebook.,"We're doing ticketing for this awesome venue in Madison, WI. Check them out and buy tickets today at FanFueled.com",,https://www.facebook.com/highnoonsaloon,100,Y,4/11/2012,4/12/2012,7
Buy,Buy a Ticket to 51BassCamp.,"51BassCamp will be held on August 25th, 2012 at Maple Ski Ridge in Rotterdam NY.",,http://www.fanfueled.com/Event/Details/1916-51basscamp-2012,200,Y,4/11/2012,4/12/2012,8
Post,Post the venue page for Your Funniest Friends @ The Joynt to your Wall.,Tell your friends about this great event we're ticketing for and you will receive an additional 50 points for every 'Like' your post receives.,Check out Your Funniest Friends @ The Joynt!,http://www.fanfueled.com/Venue/Details/719-your-funniest-friends-the-joynt,150,Y,4/12/2012,4/13/2012,9
Like,Like Internet Week New York on Facebook.,Check out Internet Week New York and be sure to get your tickets for the Webutante Ball at FanFueled.com!,,https://www.facebook.com/internetweekny,100,Y,4/12/2012,4/13/2012,10
link,Check out a great article about FanFueled on Hype Bot.,,,http://www.hypebot.com/hypebot/2012/03/fanfueled-attracts-major-music-clients-to-their-social-ticketing-and-fan-engagement-platform.html,50,Y,4/13/2012,4/16/2012,11
Follow,Follow the High Noon Saloon on Twitter.,"We're doing ticketing for this awesome venue in Madison, WI. Check them out and buy tickets today at FanFueled.com",,http://twitter.com/#!/highnoonmadison,100,Y,4/13/2012,4/16/2012,12
Like,Like Team Vintage on Facebook.,"Like Team Vintage on Facebook, and check out all of their awesome party buses at FanFueled.com!",,https://www.facebook.com/pages/Team-Vintage/119337701414139,100,Y,4/16/2012,4/17/2012,13
Post,Tell your friends about the new Brain Trust Engage Platform. ,,Check out the brand new Brain Trust Engage Platform. ,https://braintrust.fanfueledengage.com/Account/Engage,150,Y,4/16/2012,4/17/2012,14
Like,Like Your Funniest Friends on Facebook.,We're doing ticketing for a hilarious comedy troupe in Chicago. Get your tickets today at FanFueled.com!,,https://www.facebook.com/yffcomedy?__adt=4&__att=iframe,100,Y,4/17/2012,4/18/2012,15
Buy,Buy a ticket to Derby for the Derby at Derby in Chicago,Derby for the Derby will take place on May 5th at 2pm at Derby in Chicago.,,http://www.fanfueled.com/Event/Details/2441-derby-for-the-derby-saturday-may-5th-2pm,200,Y,4/17/2012,4/18/2012,16
Post,Share Camp Bisco's 2012 lineup with your friends.,Post the lineup to your wall and you will receive an additional 50 points for every 'Like' your post receives.,Check out Camp Bisco's awesome lineup!,http://www.campbisco.net/post.php?id=267,150,Y,4/18/2012,4/19/2012,17
Buy,Buy a ticket to a Wrigleyville Rooftops game with Cubs vs. Dodgers.,The Chicago Cubs will play the LA Dogers on May 5th at 12:05pm.,,http://www.fanfueled.com/Event/Details/2278-cubs-vs-dodgers-3643-n-sheffield-saturday-55-1205pm,200,Y,4/18/2012,4/19/2012,18
Follow,Follow Internet Week New York on Twitter,Check out Internet Week New York and be sure to get your tickets for the Webutante Ball at FanFueled.com!,,https://twitter.com/#!/internetweek,100,Y,4/19/2012,4/20/2012,19
Post,Tell your friends about our brand new Roxy Engage Platform. ,,"Check out The Roxy's Engage platform, the best place to win great prizes at one of the country's most iconic venues!",https://roxy.fanfueledengage.com/,150,Y,4/19/2012,4/20/2012,20
Like,Like the Wrigleyville Rooftops on Facebook.,,,http://www.facebook.com/pages/Wrigleyville-Rooftops/61299456265,100,Y,4/20/2012,4/23/2012,21
retweet,Retweet our post about FanFueled's new custom ticketing fields!,,,A 184692878860238000,50,Y,4/20/2012,4/23/2012,22
Follow,Follow Your Funniest Friends on Twitter.,We're doing ticketing for a hilarious comedy troupe in Chicago. Get your tickets today at FanFueled.com!,,https://twitter.com/#!/YFFComedy,100,Y,4/23/2012,4/24/2012,23
Buy,Buy a ticket to the 23rd Annual Franklin Jazz Festival.,The 2012 Franklin Jazz Festival is the 23rd annual fall music festival and is produced by TN Events. The festival is one of the longest running jazz festivals as well as one of the top late summer events in the southeast.,,http://www.fanfueled.com/Event/Details/2023-23rd-annual-franklin-jazz-festival-2012,200,Y,4/23/2012,4/24/2012,24
Post,Check out all of the great shows Jest Serendipity has coming up!,Tell your friends about Las Vegas' longest running improv show and you will receive an additional 50 points for every 'Like' your post receives.,,http://www.fanfueled.com/Venue/Details/768-jest-serendipity-the-alexis-park-resort,150,Y,4/24/2012,4/25/2012,25
Buy,Buy a ticket to the LXM & Adreneline All-American Games in Orange County,The third annual LXM 949 will take place at Orange Coast College on June 2nd at noon.,,http://www.fanfueled.com/Event/Details/2152-lxm-adrenaline-allamerican-games-in-orange-county-6212,200,Y,4/24/2012,4/25/2012,26
Post,Tell your friends about the upcoming Harry Potter symposium in Orlando!,Check out this symposium dedicated to Harry Potter! You will receive an additional 50 points for every 'Like' your post receives.,,http://www.fanfueled.com/Event/Details/2435-ascendio-2012-presents-night-of-a-thousand-wizards-2,150,Y,4/25/2012,4/26/2012,27
